Date,Close,High,Low,Open,Volume,Ticker
2014-11-20,170.75091552734375,205.7100067138672,204.17999267578125,204.25999450683597,72840300,SPY
2014-11-21,171.66452026367188,207.83999633789065,205.97999572753903,207.63999938964844,142327300,SPY
2014-11-24,172.14630126953125,207.38999938964844,206.91000366210935,207.1699981689453,65880800,SPY
2014-11-25,172.02171325683594,207.7899932861328,206.8000030517578,207.5399932861328,79108300,SPY
2014-11-26,172.46188354492188,207.75999450683597,207.02999877929688,207.2899932861328,62167800,SPY
2014-11-28,172.096435546875,207.8699951171875,206.91000366210935,207.4900054931641,57890100,SPY
2014-12-01,170.90042114257812,206.5399932861328,205.3800048828125,206.3999938964844,103968400,SPY
2014-12-02,172.0050811767578,207.33999633789065,205.77999877929688,205.80999755859372,74507200,SPY
2014-12-03,172.66958618164062,208.1499938964844,207.1000061035156,207.3000030517578,68952000,SPY
2014-12-04,172.4785614013672,208.2700042724609,206.6999969482422,207.5399932861328,91316600,SPY
2014-12-05,172.7608642578125,208.47000122070312,207.5500030517578,207.8699951171875,91025500,SPY
2014-12-08,171.60638427734375,208.1199951171875,205.92999267578125,207.5200042724609,108588200,SPY
2014-12-09,171.49014282226562,206.6000061035156,203.91000366210935,204.3699951171875,125180100,SPY
2014-12-10,168.74085998535156,205.97999572753903,202.92999267578125,205.91000366210935,159856400,SPY
2014-12-11,169.59637451171875,206.19000244140625,203.7100067138672,203.8800048828125,159012800,SPY
2014-12-12,166.85545349121094,203.82000732421875,200.8500061035156,202.63999938964844,202330200,SPY
2014-12-15,165.7092742919922,202.52999877929688,198.77999877929688,201.97999572753903,189965800,SPY
2014-12-16,164.38037109375,202.3999938964844,197.8600006103516,198.5800018310547,259543800,SPY
2014-12-17,167.60305786132812,202.33999633789065,198.2899932861328,198.44000244140625,253910100,SPY
2014-12-18,171.74754333496094,212.97000122070312,203.9199981689453,204.7400054931641,257633900,SPY
2014-12-19,172.4783935546875,207.3300018310547,205.6100006103516,206.42999267578125,245084600,SPY
